;Tool  Pocket X Offset     Y Offset     Z Offset     Diameter     Remark
T1     P1     X+0.000000   Y+0.000000   Z+60.000000  D+6.000000   ; 3mm
T2     P2     X+0.000000   Y+0.000000   Z+90.000000  D+6.000000   ; 1/4" 2FL END MILL
T3     P3     X+0.000000   Y+0.000000   Z+120.000000 D+16.000000  ; .375 ACCUPRO EM
T4     P4     X+0.000000   Y+0.000000   Z+0.000000   D+4.000000   ; 1/2" 2FL HERTEL EM
T5     P5     X+0.000000   Y+0.000000   Z+0.000000   D+5.000000   ; No. 7 TAP DRILL (1/4-20)
T6     P6     X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; #59 ORIFICE DRILL
T7     P7     X+0.000000   Y+0.000000   Z+0.000000   D+7.000000   ; 1/4" DRILL
T8     P8     X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; FACE MILL
T9     P9     X+0.000000   Y+0.000000   Z+0.000000   D+9.000000   ; 1/4" BALL MILL
T10    P10    X+0.000000   Y+0.000000   Z+0.000000   D+0.666000   ; coolest tool ever
T11    P11    X+0.000000   Y+0.000000   Z+0.000000   D+0.500000   ; 1/2" roughing end mill
T12    P12    X+0.000000   Y+0.000000   Z+0.000000   D+2.000000   ; big khauna cutter
T99    P13    X+0.000000   Y+0.000000   Z+0.000000   D+0.125000   ; PROBE TOOL
